B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
B10K-Nothoprocta_pentlandii,Nothoprocta_pentlandii,Neotropical,Neotropical
B10K-UC-030-51,Chionis_minor,Afrotropical,NA
B10K-UC-030-53,Promerops_cafer,Afrotropical,Afrotropical
NCBI-001,Coturnix_japonica,Sino-Japanese,Oriental Palearctic Sino-Japanese
NCBI-002,Sturnus_vulgaris,NA,Oriental Palearctic Saharo-Arabian
NCBI-003,Zosterops_lateralis,Oceanina,Australian Oceanina
NCBI-004,Meleagris_gallopavo,Nearctic,Nearctic
NCBI-005,Apteryx_australis,Australian,Australian
NCBI-006,Falco_cherrug,Saharo-Arabian,Palearctic Saharo-Arabian Sino-Japanese
NCBI-007,Zonotrichia_albicollis,Nearctic,Nearctic Palearctic
NCBI-008,Lepidothrix_coronata,Neotropical,Neotropical Panamanian
NCBI-009,Anser_cygnoid,NA,NA
NCBI-010,Setophaga_coronata,Nearctic,NA
NCBI-011,Gallus_gallus,Oriental,Oriental Saharo-Arabian Sino-Japanese
NCBI-012,Ficedula_albicollis,Palearctic,Palearctic
NCBI-013,Taeniopygia_guttata,Oriental,Australian Oriental
NCBI-014,Aquila_chrysaetos,Nearctic,Afrotropical Nearctic Oriental Palearctic Saharo-Arabian Sino-Japanese
NCBI-015,Calidris_pugnax,NA,NA
NCBI-016,Tympanuchus_cupido,Nearctic,Nearctic
NCBI-017,Pseudopodoces_humilis,Sino-Japanese,NA
NCBI-018,Serinus_canaria,Saharo-Arabian,Palearctic Saharo-Arabian
NCBI-019,Patagioenas_fasciata,NA,Nearctic Neotropical Panamanian
NCBI-020,Corvus_cornix,Palearctic,Palearctic Saharo-Arabian
NCBI-021,Passer_domesticus,Palearctic,Afrotropical Oriental Palearctic Saharo-Arabian Sino-Japanese
NCBI-022,Parus_major,Palearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
NCBI-024,Colinus_virginianus,Nearctic,Nearctic Panamanian
NCBI-025,Callipepla_squamata,Nearctic,Nearctic
NCBI-026,Sporophila_hypoxantha,Neotropical,Neotropical
NCBI-027,Phalacrocorax_pelagicus,Nearctic,NA
