ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
B10K-DU-006-20,-0.829970464,2.34E-09,33,Neg,increase,-0.960876848,1.03E-17,31,Neg,decrease
B10K-DU-007-02,-0.87100525,8.00E-10,29,Neg,increase,0.977847167,7.13E-20,29,Pos,increase
B10K-DU-007-40,0.85503178,2.44E-05,16,Pos,decrease,0.879240932,7.16E-07,19,Pos,increase
B10K-DU-007-42,-0.845327101,3.18E-10,34,Neg,increase,-0.938018923,7.04E-15,31,Neg,decrease
B10K-DU-008-47,0.881784685,2.66E-09,26,Pos,decrease,-0.963052385,1.34E-14,25,Neg,decrease
B10K-DU-008-62,0.846532742,5.03E-08,26,Pos,decrease,-0.962051048,4.85E-15,26,Neg,decrease
B10K-DU-008-63,-0.881005286,2.86E-10,29,Neg,increase,0.971622017,1.95E-18,29,Pos,increase
B10K-DU-009-04,-0.794049908,2.73E-07,29,Neg,increase,0.968526281,3.16E-17,28,Pos,increase
B10K-DU-009-59,0.727275176,1.10E-06,34,Pos,decrease,-0.966095055,3.40E-19,32,Neg,decrease
B10K-DU-010-60,-0.899522998,2.59E-12,32,Neg,increase,0.96427279,1.09E-17,30,Pos,increase
B10K-DU-011-20,-0.827058062,5.38E-09,32,Neg,increase,0.966698557,4.12E-18,30,Pos,increase
B10K-DU-011-36,0.890051123,5.84E-09,24,Pos,decrease,-0.958399639,1.84E-13,24,Neg,decrease
B10K-DU-011-42,0.813434287,1.42E-07,28,Pos,decrease,0.938918709,4.39E-13,27,Pos,increase
B10K-DU-012-02,0.891767179,9.72E-10,26,Pos,decrease,-0.972211656,1.01E-14,23,Neg,decrease
B10K-DU-012-10,0.85111595,9.51E-09,28,Pos,decrease,0.888363572,6.23E-10,27,Pos,increase
B10K-DU-012-37,0.840960042,7.49E-08,26,Pos,decrease,0.848628496,4.32E-08,26,Pos,increase
B10K-DU-012-38,-0.867466872,2.70E-10,31,Neg,increase,0.945369639,3.69E-15,30,Pos,increase
B10K-DU-012-45,0.883830706,1.04E-08,24,Pos,decrease,-0.953228084,2.20E-12,23,Neg,decrease
B10K-DU-012-46,-0.720276258,4.91E-06,31,Neg,increase,0.957725184,3.89E-16,29,Pos,increase
B10K-DU-012-52,0.880350457,6.68E-11,31,Pos,decrease,-0.95964676,7.61E-16,28,Neg,decrease
B10K-DU-012-55,0.754990843,1.43E-06,30,Pos,decrease,-0.963200961,8.89E-16,27,Neg,decrease
B10K-DU-012-80,0.884945484,2.06E-08,23,Pos,decrease,-0.957304617,2.43E-13,24,Neg,decrease
B10K-DU-013-18,-0.599236223,0.00523511,20,Neg,increase,-0.948545651,5.87E-12,23,Neg,decrease
B10K-DU-015-11,0.870313435,2.01E-10,31,Pos,decrease,-0.189955085,0.306062123,31,No,not_significant
B10K-DU-015-28,0.944569591,1.23E-10,21,Pos,decrease,-0.968071476,1.74E-13,22,Neg,decrease
B10K-DU-017-25,0.739503995,3.64E-05,24,Pos,decrease,0.936305496,1.79E-11,24,Pos,increase
B10K-DU-021-26,-0.867253552,1.36E-05,16,Neg,increase,0.599667324,0.006650351,19,No,not_significant
B10K-DU-021-33,-0.869656686,3.89E-09,27,Neg,increase,0.972570722,2.37E-17,27,Pos,increase
B10K-DU-024-03,0.868553706,1.60E-07,22,Pos,decrease,-0.949992522,4.38E-12,23,Neg,decrease
B10K-DU-027-49,-0.465732093,0.01649235,26,No,not_significant,-0.874529444,1.10E-08,25,Neg,decrease
B10K-DU-029-32,0.831089335,4.35E-08,28,Pos,decrease,0.93273479,1.42E-12,27,Pos,increase
B10K-DU-029-33,0.898089355,4.88E-10,26,Pos,decrease,-0.956103806,2.70E-14,26,Neg,decrease
B10K-DU-029-36,-0.105557605,0.640129024,22,No,not_significant,0.975495893,2.74E-15,23,Pos,increase
B10K-DU-029-37,0.908786176,4.92E-09,22,Pos,decrease,-0.956684595,1.24E-11,21,Neg,decrease
B10K-DU-029-38,0.881525218,1.27E-08,24,Pos,decrease,-0.978703401,6.36E-16,23,Neg,decrease
B10K-DU-029-39,0.583717439,0.000708793,30,Pos,decrease,-0.893461358,6.95E-11,29,Neg,decrease
B10K-DU-029-40,0.865451876,9.74E-08,23,Pos,decrease,-0.962370576,2.33E-13,23,Neg,decrease
B10K-DU-029-41,0.519265457,0.006559547,26,No,not_significant,-0.957819787,1.69E-14,26,Neg,decrease
B10K-DU-029-42,-0.813954236,7.01E-05,17,Neg,increase,-0.708271005,0.000689733,19,Neg,decrease
B10K-DU-029-43,0.278191538,0.209989917,22,No,not_significant,0.963959549,1.49E-13,23,Pos,increase
B10K-DU-029-44,-0.809130519,1.08E-07,29,Neg,increase,0.818775687,1.01E-07,28,Pos,increase
B10K-DU-029-46,0.827143375,3.17E-08,29,Pos,decrease,-0.977588971,1.95E-18,27,Neg,decrease
B10K-DU-029-47,-0.441504631,0.076032746,17,No,not_significant,0.620181564,0.004614665,19,Pos,increase
B10K-DU-029-49,0.886318284,1.51E-11,32,Pos,decrease,-0.978901366,7.46E-21,30,Neg,decrease
B10K-DU-029-50,-0.778404439,7.50E-06,24,Neg,increase,0.970717203,4.09E-15,24,Pos,increase
B10K-DU-029-51,-0.788862897,1.29E-05,22,Neg,increase,-0.957009756,9.23E-13,23,Neg,decrease
B10K-DU-029-52,-0.899086992,2.21E-13,35,Neg,increase,0.953751488,9.76E-18,33,Pos,increase
B10K-DU-029-53,-0.803838529,1.30E-06,25,Neg,increase,0.96273157,1.48E-14,25,Pos,increase
B10K-DU-029-58,0.862700837,2.91E-08,25,Pos,decrease,-0.975021642,3.43E-17,26,Neg,decrease
B10K-DU-029-61,0.886038515,7.96E-10,27,Pos,decrease,0.088381536,0.66767789,26,No,not_significant
B10K-DU-029-76,0.885666819,9.41E-08,21,Pos,decrease,-0.959190625,7.08E-12,21,Neg,decrease
B10K-DU-029-77,-0.672014977,8.99E-05,28,Neg,increase,-0.94968358,4.12E-14,27,Neg,decrease
B10K-DU-029-80,-0.85936429,2.39E-09,29,Neg,increase,0.97412852,2.55E-18,28,Pos,increase
B10K-DU-030-03,0.827388722,5.64E-08,28,Pos,decrease,0.941725296,2.28E-12,25,Pos,increase
B10K-DU-030-22,0.884948706,4.07E-10,28,Pos,decrease,0.62852702,0.000584618,26,Pos,increase
B10K-DU-030-41,-0.707017367,2.06E-06,35,Neg,increase,0.957194368,3.01E-18,33,Pos,increase
B10K-DU-030-59,-0.895450967,1.04E-11,31,Neg,increase,0.950622278,3.04E-15,29,Pos,increase
B10K-Eudromia_elegans,0.907432606,1.93E-12,31,Pos,decrease,-0.950343229,3.27E-15,29,Neg,decrease
B10K-IZ-033-77,0.902944544,2.09E-11,29,Pos,decrease,0.452337635,0.013752117,29,No,not_significant
B10K-IZ-033-78,0.732105306,2.86E-06,31,Pos,decrease,-0.949493936,1.26E-15,30,Neg,decrease
B10K-IZ-033-81,0.85254877,9.22E-07,21,Pos,decrease,0.626456584,0.001382617,23,Pos,increase
B10K-Nothocercus_julius,0.901675755,4.47E-12,31,Pos,decrease,-0.832862631,1.13E-08,30,Neg,decrease
B10K-Nothocercus_nigrocapillus,-0.856213011,1.23E-08,27,Neg,increase,0.977862178,1.68E-18,27,Pos,increase
B10K-Nothoprocta_ornata,0.834949755,7.23E-07,23,Pos,decrease,-0.193822372,0.36414758,24,No,not_significant
B10K-Nothoprocta_pentlandii,0.882653278,2.51E-08,23,Pos,decrease,-0.972131496,2.39E-15,24,Neg,decrease
B10K-UC-030-53,0.887156886,3.21E-10,28,Pos,decrease,-0.961376805,1.61E-15,27,Neg,decrease
NCBI-001,0.887146574,2.80E-12,34,Pos,decrease,-0.946215053,3.02E-16,32,Neg,decrease
NCBI-002,0.667107427,0.000144382,27,Pos,decrease,0.96091031,1.87E-15,27,Pos,increase
NCBI-006,-0.031283828,0.862789301,33,No,not_significant,-0.96463196,2.45E-18,31,Neg,decrease
NCBI-007,-0.649854774,0.000101705,30,Neg,increase,-0.89420256,1.44E-10,28,Neg,decrease
NCBI-008,0.840396837,3.52E-06,20,Pos,decrease,-0.934693619,1.94E-10,22,Neg,decrease
NCBI-009,0.89125017,1.35E-07,20,Pos,decrease,-0.948194,2.11E-10,20,Neg,decrease
NCBI-010,-0.83770601,2.69E-08,28,Neg,increase,0.852205837,1.69E-08,27,Pos,increase
NCBI-014,0.798362593,7.40E-08,31,Pos,decrease,0.795513284,2.50E-07,29,Pos,increase
NCBI-019,0.831348241,2.64E-07,25,Pos,decrease,0.944072289,4.64E-13,26,Pos,increase
NCBI-020,0.856447793,1.57E-09,30,Pos,decrease,-0.954100844,1.00E-16,31,Neg,decrease
NCBI-021,0.884367409,4.18E-11,31,Pos,decrease,-0.506890935,0.005012452,29,No,not_significant
NCBI-022,-0.825018073,3.52E-09,33,Neg,increase,0.963420816,3.96E-18,31,Pos,increase
NCBI-024,0.894315249,1.43E-10,28,Pos,decrease,-0.964611323,2.13E-15,26,Neg,decrease
NCBI-025,0.886926617,6.77E-11,30,Pos,decrease,0.883694243,4.65E-10,28,Pos,increase
NCBI-027,0.866189568,7.43E-11,33,Pos,decrease,0.92295524,3.95E-13,30,Pos,increase
